img_path,pattern,dress_description,image_link
Striped/Striped1.jpg,Striped,Aeropostale Women Cream Striped Off-Shoulder Crop Top,https://cdn01.nnnow.com/web-images/medium/styles/R3OXDCORG8M/1592826838695/2.jpg
Striped/Striped2.jpg,Striped,Aeropostale Women Cream Striped Off-Shoulder Crop Top,https://cdn02.nnnow.com/web-images/medium/styles/R3OXDCORG8M/1592826838697/1.jpg
Striped/Striped3.jpg,Striped,SUGR Women Fuchsia Round Neck Short Sleeves Striped Top,https://cdn11.nnnow.com/web-images/medium/styles/G14M9W617SV/1649923483131/2.jpg
Striped/Striped4.jpg,Striped,SUGR Women Fuchsia Round Neck Short Sleeves Striped Top,https://cdn04.nnnow.com/web-images/medium/styles/G14M9W617SV/1649923483133/1.jpg
Striped/Striped5.jpg,Striped,U.S. Polo Assn. Women Grey Bateau Neck Stylized Back Horizontal Striped Top,https://cdn05.nnnow.com/web-images/medium/styles/QMTHUO2WKEC/1665482665366/2.jpg
Striped/Striped6.jpg,Striped,U.S. Polo Assn. Women Grey Bateau Neck Stylized Back Horizontal Striped Top,https://cdn16.nnnow.com/web-images/medium/styles/QMTHUO2WKEC/1665482665393/1.jpg
Striped/Striped7.jpg,Striped,U.S. Polo Assn. Women White And Pink Mandarin Collar Vertical Striped Evening Top,https://cdn19.nnnow.com/web-images/medium/styles/PVCGO2L9I05/1664788322715/2.jpg
Striped/Striped8.jpg,Striped,U.S. Polo Assn. Women White And Pink Mandarin Collar Vertical Striped Evening Top,https://cdn06.nnnow.com/web-images/medium/styles/PVCGO2L9I05/1664788322724/1.jpg
Striped/Striped9.jpg,Striped,U.S. Polo Assn. Women Fuchsia V-Neck Self Designed Top,https://cdn05.nnnow.com/web-images/medium/styles/EIFR1UTAMD2/1665482665100/2.jpg
Striped/Striped10.jpg,Striped,U.S. Polo Assn. Women Fuchsia V-Neck Self Designed Top,https://cdn08.nnnow.com/web-images/medium/styles/EIFR1UTAMD2/1665482665115/1.jpg
Striped/Striped11.jpg,Striped,U.S. Polo Assn. Women Grey Puff Sleeve Scoop Neck Striped Top,https://cdn03.nnnow.com/web-images/medium/styles/E0FNDU11Q8O/1671001744902/2.jpg
Striped/Striped12.jpg,Striped,U.S. Polo Assn. Women Grey Puff Sleeve Scoop Neck Striped Top,https://cdn09.nnnow.com/web-images/medium/styles/E0FNDU11Q8O/1664452021839/1.jpg
Striped/Striped13.jpg,Striped,U.S. Polo Assn. Women Green Stylised Back Horizontal Stripe Top,https://cdn11.nnnow.com/web-images/medium/styles/BMYBRMZ3FPJ/1663142913635/2.jpg
Striped/Striped14.jpg,Striped,U.S. Polo Assn. Women Green Stylised Back Horizontal Stripe Top,https://cdn10.nnnow.com/web-images/medium/styles/BMYBRMZ3FPJ/1663142913646/1.jpg
Striped/Striped15.jpg,Striped,Flying Machine Women Pink Contrast Stripe Twist Hem Cotton Crop T-Shirt,https://cdn18.nnnow.com/web-images/medium/styles/5F9CVZK3G0C/1659951942254/2.jpg
Striped/Striped16.jpg,Striped,Flying Machine Women Pink Contrast Stripe Twist Hem Cotton Crop T-Shirt,https://cdn15.nnnow.com/web-images/medium/styles/5F9CVZK3G0C/1659951942258/1.jpg
